name,styleUrl,longitude,latitude,ward
KALA CHOWKY POLICE STATION,0,72.84294,18.987972,    F/S   
MINT COLONY,0,72.844322,18.994424,    F/S   
T.B.HOSPITAL (KIDWAI NAGAR),0,72.850022,19.005214,    F/S   
LAL BAHADUR SHASTRI COLLEGE,0,72.859279,18.980583,    E   
LAL BAHADUR SHASTRI COLLEGE,0,72.858918,18.980619,    E   
SANT JAGNADE CHOWK (LALBAUG),0,72.83627,18.991717,    F/S   
SANT JAGNADE CHOWK (LALBAUG),0,72.836249,18.993804,    F/S   
MADKEBUWA CHOWK (PAREL),0,72.841038,19.004386,    F/S   
MADHAV NAGAR (WADALA-W),0,72.854349,19.011884,    F/S   
MADHAV NAGAR (WADALA-W),0,72.854549,19.011766,    F/S   
"MUSTAFA BAZAR, SAVLYA TANDEL CHOWK",0,72.839938,18.976253,    E   
NAIGAON POLICE COLONY,0,72.847171,19.007489,    F/S   
PRABODHANKAR THACKERAY UDYAN BUS STATION (SEWREE),0,72.852249,18.998196,    F/S   
MADKEBUWA CHOWK (PAREL),0,72.838466,19.002216,    F/S   
"PAREL VILLAGE, ST.GORA KUMBHAR CHOWK",0,72.846008,19.000613,    F/S   
REAY ROAD STATION,0,72.844211,18.975976,    E   
REAY ROAD STATION,0,72.844239,18.976536,    E   
"PARSI DHARMASHALA, OM CHAMBERS",0,72.805496,18.964645,    D   
PARSI GENERAL HOSPITAL,0,72.80365,18.968574,    D   
PLAY HOUSE,0,72.822458,18.961759,    D   
PRARTHANA SAMAJ,0,72.820334,18.958035,    D   
PREM NAGAR,0,72.794268,18.94972,    D   
PRIYADARSHINI PARK (NAPEAN SEA ROAD),0,72.799503,18.956853,    D   
PT.PALUSKAR CHOWK (OPERA HOUSE)- MARWADI VIDYALAYA,0,72.817381,18.957374,    D   
"RAILWAY HOTEL, CHARNI ROAD JUNCTION",0,72.819932,18.961387,    D   
SAIDHAM (GRANT ROAD),0,72.816906,18.958087,    D   
"A.H.ANSARI CHOWK, SALVATION ARMY",0,72.827662,18.973001,    E   
SHUKLAJI STREET,0,72.824628,18.966223,    E   
SIMLA HOUSE,0,72.802397,18.95803,    D   
ST.MARY S HIGH SCHOOL (MAZGAON),0,72.835137,18.969781,    E   
"TARDEO BUS STATION, RUSI MEHTA CHOWK",0,72.82087,18.963881,    D   
TWO TANKS,0,72.827699,18.961618,    E   
TWO TANKS,0,72.82825,18.961763,    E   
VATSALABAI DESAI CHOWK (HAJI ALI),0,72.811809,18.977055,    D   
VASANTRAO NAIK CHOWK (TARDEO),0,72.81512,18.969965,    D   
VASANTRAO NAIK CHOWK,0,72.815015,18.97039,    D   
"GULAL WADI, YADNIK CHOWK",0,72.828188,18.956424,    B   
ABDUL REHMAN SUFI GRD (ZULA MAIDAN),0,72.826701,18.974356,    E   
GRANT ROAD STATION (W),0,72.815913,18.964031,    D   
BHATIA HOSPITAL,0,72.813605,18.965375,    D   
SANT GADGE MAHARAJ CHOWK (SAATRASTA),0,72.827818,18.979732,    E   
SAIDHAM (GRANT ROAD),0,72.814673,18.982116,    E   
"GOVERNMENT COLONY, INDIAN MEDICAL ASSOCIATION CHOWK",0,72.815036,18.978701,    D   
DR.M.IQBAL CHOWK (J J HOSPITAL),0,72.831781,18.962796,    E   
LALA LAJPATRAI COLLEGE,0,72.814388,18.98217,    E   
BRADBURY MILL,0,72.827136,18.977401,    E   
VATSALABAI DESAI CHOWK (HAJI ALI),0,72.812036,18.978202,    D   
GRANT ROAD BRIDGE,0,72.815697,18.96188,    D   
GRANT ROAD BRIDGE,0,72.815915,18.961962,    D   
DONGRI JAIL,0,72.836513,18.959104,    E   
WADALA FLY OVER BRIDGE,0,72.860671,19.018798,    F/N   
ABHISHEK APARTMENTS,0,72.826165,19.12135,    K/W   
ABHISHEK APARTMENTS,0,72.826517,19.120799,    K/W   
ARYA SAMAJ MANDIR,0,72.834466,19.079447,    M/E   
"VILE PARLE (W), ASHOKA HALL",0,72.839544,19.099361,    M/E   
BALKANJI BARI SCHOOL,0,72.832837,19.084758,    M/E   
CHANDAN CINEMA,0,72.827003,19.114391,    K/W   
DR.COOPER HOSPITAL,0,72.836782,19.107662,    K/W   
DR.COOPER HOSPITAL,0,72.836925,19.10759,    K/W   
GAGANDEEP,0,72.836873,19.113588,    K/W   
GOLDEN TOBACCO (VILE PARLE-W),0,72.839569,19.104836,    K/W   
HARE RAM HARE KRISHNA (ISKCON),0,72.826243,19.113097,    K/W   
ERLA,0,72.840687,19.109263,    K/W   
J.V.P.D.BUS STATION,0,72.831862,19.116169,    K/W   
JUHU BEACH,0,72.828167,19.095736,    M/E   
JUHU SHOPPING CENTRE (JVPD),0,72.834847,19.115611,    K/W   
VESAVA LINK ROAD,0,72.824719,19.122948,    K/W   
J.V.P.D.BUS STATION,0,72.82922,19.116402,    K/W   
SAHAKARI BHANDAR (JUHU),0,72.83191,19.103593,    K/W   
NAWAB TANK MARG,0,72.844959,18.965551,    E   
NAWAB TANK MARG,0,72.845044,18.965533,    E   
DR.BHADKAMKAR ROAD,0,72.817217,18.960264,    D   
DR.M.IQBAL CHOWK (J J HOSPITAL),0,72.832104,18.962724,    E   
DR.M.IQBAL CHOWK (J J HOSPITAL),0,72.831914,18.96276,    E   
GARLIC COMPANY,0,72.828245,18.979118,    E   
