name,styleUrl,longitude,latitude,ward
SANT GADGE MAHARAJ CHOWK (SAATRASTA),0,72.827818,18.979732,NW-13
"GOVERNMENT COLONY, INDIAN MEDICAL ASSOCIATION CHOWK",0,72.815036,18.978701,NW-4
DR.M.IQBAL CHOWK (J J HOSPITAL),0,72.831781,18.962796,NW-13
LALA LAJPATRAI COLLEGE,0,72.814388,18.98217,NW-33
BRADBURY MILL,0,72.827136,18.977401,NW-13
GRANT ROAD BRIDGE,0,72.815697,18.96188,NW-4
DONGRI JAIL,0,72.836513,18.959104,NW-13
WADALA FLY OVER BRIDGE,0,72.860671,19.018798,NW-8
ABHISHEK APARTMENTS,0,72.826165,19.12135,NW-14
ARYA SAMAJ MANDIR,0,72.834466,19.079447,NW-1
"VILE PARLE (W), ASHOKA HALL",0,72.839544,19.099361,NW-27
BALKANJI BARI SCHOOL,0,72.832837,19.084758,NW-1
CHANDAN CINEMA,0,72.827003,19.114391,NW-14
DR.COOPER HOSPITAL,0,72.836782,19.107662,NW-27
GAGANDEEP,0,72.836873,19.113588,NW-14
GOLDEN TOBACCO (VILE PARLE-W),0,72.839569,19.104836,NW-27
HARE RAM HARE KRISHNA (ISKCON),0,72.826243,19.113097,NW-14
ERLA,0,72.840687,19.109263,NW-27
J.V.P.D.BUS STATION,0,72.831862,19.116169,NW-14
JUHU BEACH,0,72.828167,19.095736,NW-1
JUHU SHOPPING CENTRE (JVPD),0,72.834847,19.115611,NW-14
VESAVA LINK ROAD,0,72.824719,19.122948,NW-14
SAHAKARI BHANDAR (JUHU),0,72.83191,19.103593,NW-14
NAWAB TANK MARG,0,72.844959,18.965551,NW-13
DR.BHADKAMKAR ROAD,0,72.817217,18.960264,NW-4
GARLIC COMPANY,0,72.828245,18.979118,NW-13
GOL MANDIR (BHULESHWAR),0,72.828832,18.958087,NW-4
NANA CHOWK,0,72.8147,18.961925,NW-4
"PRARTHANA SAMAJ, HARKISHANDAS HOSPITAL",0,72.819745,18.958505,NW-4
HYDERABAD ESTATE,0,72.800852,18.956014,NW-4
J.MEHTA MARG (NAPEAN SEA ROAD),0,72.796223,18.951086,NW-4
KASTURBA GANDHI CHOWK (C.P.TANK),0,72.825986,18.954453,NW-4
KHETWADI (GIRGAON),0,72.822461,18.958046,NW-4
LALA LAJPATRAI COLLAGE,0,72.814673,18.982098,NW-33
MAHARANA PRATAP CHOWK (MAZGAON),0,72.840532,18.968385,NW-13
MADANPURA,0,72.828053,18.969876,NW-13
MAFATLAL PARK,0,72.805763,18.973472,NW-4
MAZGAON COURT,0,72.83868,18.968718,NW-13
MUMBAI CENTRAL DEPOT,0,72.824456,18.968202,NW-4
MUMBAI CENTRAL STATION,0,72.822053,18.968715,NW-4
NAGPADA POLICE STATION,0,72.829765,18.966652,NW-13
